scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,33
e036,blocks,hits,28
e036,blocks,misses,9
e036,blocks,extras,5
e036,blocks,near_misses,3
e036,blocks,precision,0.8485
e036,blocks,recall,0.7568
e036,blocks,f1,0.8000
e036,blocks,rule_agree,28
e036,blocks,misses_idx,19 77 96 117 144 182 193 213 245
e036,blocks,extras_idx,91 113 145 164 244
e036,next_node,n_cuts,36
e036,next_node,agree,29
e036,next_node,rate,0.8056
e036,next_node,confusions,Planning->Reasoning:3; Planning->Restatement:2; Planning->Reflection:1; Planning->Conclusion:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,130
e036,nodes,end_hits,117
e036,nodes,end_misses,29
e036,nodes,end_extras,13
e036,nodes,precision,0.9000
e036,nodes,recall,0.8014
e036,nodes,f1,0.8478
e036,nodes,matched_l1_agree,112
e036,nodes,matched_l1_rate,0.7671
e036,nodes,split,12
e036,nodes,merged,46
e036,sentences,l1_wrong,44
e036,sentences,l2_wrong,22
e036,sentences,l3_wrong,5
e036,sentences,all_right,183
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1732
e036,sentences,l2_wrong_share,0.0866
e036,sentences,l3_wrong_share,0.0197
e036,sentences,all_right_share,0.7205
e036,sentences,l1_share_of_disagreements,0.6197
c004,blocks,n_reviewed,46
c004,blocks,n_judge,48
c004,blocks,hits,41
c004,blocks,misses,5
c004,blocks,extras,7
c004,blocks,near_misses,2
c004,blocks,precision,0.8542
c004,blocks,recall,0.8913
c004,blocks,f1,0.8723
c004,blocks,rule_agree,39
c004,blocks,misses_idx,13 114 216 227 288
c004,blocks,extras_idx,1 12 40 289 291 328 366
c004,next_node,n_cuts,45
c004,next_node,agree,40
c004,next_node,rate,0.8889
c004,next_node,confusions,Planning->Restatement:2; Assumption->Planning:2; Planning->Reflection:1
c004,nodes,n_reviewed,193
c004,nodes,n_judge,232
c004,nodes,end_hits,167
c004,nodes,end_misses,26
c004,nodes,end_extras,65
c004,nodes,precision,0.7198
c004,nodes,recall,0.8653
c004,nodes,f1,0.7859
c004,nodes,matched_l1_agree,142
c004,nodes,matched_l1_rate,0.7358
c004,nodes,split,29
c004,nodes,merged,34
c004,sentences,l1_wrong,109
c004,sentences,l2_wrong,49
c004,sentences,l3_wrong,6
c004,sentences,all_right,211
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.2907
c004,sentences,l2_wrong_share,0.1307
c004,sentences,l3_wrong_share,0.0160
c004,sentences,all_right_share,0.5627
c004,sentences,l1_share_of_disagreements,0.6646
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,81
pooled,blocks,hits,69
pooled,blocks,misses,14
pooled,blocks,extras,12
pooled,blocks,near_misses,5
pooled,blocks,rule_agree,67
pooled,blocks,precision,0.8519
pooled,blocks,recall,0.8313
pooled,blocks,f1,0.8415
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,69
pooled,next_node,rate,0.8519
pooled,next_node,confusions,Planning->Restatement:4; Planning->Reasoning:3; Planning->Reflection:2; Assumption->Planning:2; Planning->Conclusion:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,362
pooled,nodes,end_hits,284
pooled,nodes,end_misses,55
pooled,nodes,end_extras,78
pooled,nodes,matched_l1_agree,254
pooled,nodes,split,41
pooled,nodes,merged,80
pooled,nodes,precision,0.7845
pooled,nodes,recall,0.8378
pooled,nodes,f1,0.8103
pooled,nodes,matched_l1_rate,0.7493
pooled,sentences,l1_wrong,153
pooled,sentences,l2_wrong,71
pooled,sentences,l3_wrong,11
pooled,sentences,all_right,394
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.2432
pooled,sentences,l2_wrong_share,0.1129
pooled,sentences,l3_wrong_share,0.0175
pooled,sentences,all_right_share,0.6264
pooled,sentences,l1_share_of_disagreements,0.6511
