0 Rf.meo.E
1 Pl.lp
2 Re.oe.F
3-4 Pl.gp
5 Pl.lp
6-7 Kn.wk.fpc
8 Pl.lp
9-11 Re.ca.al
12-13 Re.co.pvo
14 Re.lr.al
15-16 Re.sp.iot
17 Pl.lp
18 Co.ic
19 Pl.lp
20 Co.ic
21 Pl.gp
22 Re.oe.C
23 Re.oe.A
24 Rf.meo.B
25-26 Pl.gp
27 Pl.lp
28 Rs.rtp.ot
29 Re.co.ovo
30 Pl.lp
31 Re.co.ovo
32 Pl.lp
33 Re.co.ovo
34 Pl.gp
35 Pl.iv.wdm
36 Pl.lp
37 Rs.rtp.qt
38 As.bcs.al
39 Re.ca.al
40-42 Re.lr.al
43 Co.ic
44 Kn.wk.fpc
45-46 Re.lr
47 Rf.eoi
48 Re.lr
49 Pl.lp
50 Rs.rtp.ot
51 Rf.meo.C
52 Re.oe.C
53-54 Pl.gp
55 Pl.lp
56 Re.ds.al
57 Pl.lp
58-61 Ex.nel.al
62-63 Pl.lp
64-65 Kn.wk.fpc
66 Pl.lp
67 Re.oe.C
68-69 Pl.gp
70 Pl.lp
71-72 Rs.rtp.qt
73 Pl.lp
74 Rs.rae
75 Pl.lp
76 Co.ic
77 Pl.lp
78 Kn.wk.fpc
79 Pl.lp
80 Rs.rtp.ot
81 Pl.lp
82 Re.lr
83 Re.sp
84 Re.lr
85 Re.sp
86 Re.lr
87 Pl.lp
88-89 Re.oe.F
90 Pl.lp
91-96 Rs.rtp.ot
97 Pl.lp
98 Re.oe.C
99 Pl.lp
100 As.bcs.al
101-102 Re.ca.al
103 Pl.lp
104-105 Re.ca.al
106 Re.lr.al
107 Co.ic
108-109 Re.lr.al
110 Co.ic
111 Re.oe.A
112 Rf.meo.C
113 Pl.lp
114 Co.ic
115-116 Pl.gp
117-119 Pl.lp
120 Kn.wk.fpc
121 Re.lr
122 Re.oe.C
123 Pl.lp
124-125 Re.lr
126 Re.oe.C
127 Pl.lp
128 Rs.rtp.qt
129 Re.sp
130 Re.lr
131 Re.sp
132 Re.lr
133 Pl.atc
134 Co.ic
135 Pl.ib.wdm
136 Rs.rtp.ot
137 Rf.meo.C
138 Rs.rtp.ot
139 Rf.meo.C
140-141 Rf.eoi
142 Pl.lp+Re.oe.A
143-144 Re.oe.A
145 Rs.rtp.afi
146-147 Re.oe.A
148 Rf.meo.C
149 Pl.lp
150 Rs.rtp.ot
151 Rf.meo.C
152 Rs.rtp.ot
153-154 Rf.meo.C
155 Pl.lp
156 Re.oe.E
157 Kn.cod.wp
158 Re.oe.E
159 Rf.meo.C
160 Pl.lp
161-162 Rs.rtp.qt
163 Re.lr
164 Re.oe.C
165 Re.lr
166 Re.oe.C
167 Rf.meo.C
168 Re.sp
169 Re.lr
170 Re.sp
171 Re.lr
172 Pl.atc
173 Pl.gp
174-176 As.aau
177 Rf.eoi
178 Re.oe.A
179 Re.oe.C
180 Re.cr
181 Rs.rtp.afi
182 Re.lr
183 Pl.lp
184 Rs.rtp.ot
185 Re.oe.B
186 Rf.meo.C
187 Pl.lp
188 Re.oe.F
189 Rf.meo.C
190 Co.ic
191 Pl.iv.wdm
192 Re.lr
193 As.bcs+Co.ic
194 Re.lr
195-196 Pl.lp
197 Re.oe.A
198 Pl.lp
199 Re.oe.B
200 Pl.lp
201 Re.oe.C
202 Pl.lp
203 Re.oe.D
204 Pl.lp
205 Re.oe.E
206 Rf.meo.C
207 Pl.lp
208-209 Re.ca.al
210 Re.lr.al
211 Co.ic
212 Re.lr.al
213 Re.oe.A
214 Re.oe.B
215 Re.oe.C
216 Pl.lp
217 Re.lr
218 Re.sp
219 Re.lr
220 Pl.gp
221 Pl.lp
222 Re.ds.al
223 Pl.lp
224 Re.ca.al
225 Pl.lp
226 Re.ca.al
227 Pl.lp
228-229 Re.ca.al
230 Pl.lp
231 Re.ca.al
232 Pl.lp
233 Re.ca.al
234 Pl.lp
235 Co.ic
236 Pl.lp
237-238 Kn.wk.fpc
239 Pl.lp
240-242 Re.ca.al
243 Pl.lp
244 Re.oe.C
245 Pl.lp
246 Re.oe.C
247 Pl.iv.wdm
248 Rs.rtp.qt+Re.lr
249 Re.lr
250 Pl.lp
251 Re.lr
252-253 Kn.wk.fpc
254 Re.lr
255 Pl.lp
256-258 Re.lr
259 Co.ic
260 Pl.iv.wdm
261 Re.ca.al
262 Re.sp
263 As.bcs.al
264-265 Re.ca.al
266-267 Rf.eoi
268 Co.fa
