scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,34
e036,blocks,hits,32
e036,blocks,misses,5
e036,blocks,extras,2
e036,blocks,near_misses,2
e036,blocks,precision,0.9412
e036,blocks,recall,0.8649
e036,blocks,f1,0.9014
e036,blocks,rule_agree,31
e036,blocks,misses_idx,19 77 96 117 193
e036,blocks,extras_idx,86 116
e036,next_node,n_cuts,36
e036,next_node,agree,33
e036,next_node,rate,0.9167
e036,next_node,confusions,Planning->Reasoning:1; Planning->Assumption:1; Planning->Restatement:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,140
e036,nodes,end_hits,129
e036,nodes,end_misses,17
e036,nodes,end_extras,11
e036,nodes,precision,0.9214
e036,nodes,recall,0.8836
e036,nodes,f1,0.9021
e036,nodes,matched_l1_agree,122
e036,nodes,matched_l1_rate,0.8356
e036,nodes,split,9
e036,nodes,merged,25
e036,sentences,l1_wrong,35
e036,sentences,l2_wrong,16
e036,sentences,l3_wrong,7
e036,sentences,all_right,196
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1378
e036,sentences,l2_wrong_share,0.0630
e036,sentences,l3_wrong_share,0.0276
e036,sentences,all_right_share,0.7717
e036,sentences,l1_share_of_disagreements,0.6034
c004,blocks,n_reviewed,46
c004,blocks,n_judge,48
c004,blocks,hits,45
c004,blocks,misses,1
c004,blocks,extras,3
c004,blocks,near_misses,0
c004,blocks,precision,0.9375
c004,blocks,recall,0.9783
c004,blocks,f1,0.9574
c004,blocks,rule_agree,45
c004,blocks,misses_idx,216
c004,blocks,extras_idx,111 164 295
c004,next_node,n_cuts,45
c004,next_node,agree,44
c004,next_node,rate,0.9778
c004,next_node,confusions,Assumption->Planning:1
c004,nodes,n_reviewed,193
c004,nodes,n_judge,221
c004,nodes,end_hits,176
c004,nodes,end_misses,17
c004,nodes,end_extras,45
c004,nodes,precision,0.7964
c004,nodes,recall,0.9119
c004,nodes,f1,0.8502
c004,nodes,matched_l1_agree,165
c004,nodes,matched_l1_rate,0.8549
c004,nodes,split,22
c004,nodes,merged,24
c004,sentences,l1_wrong,72
c004,sentences,l2_wrong,47
c004,sentences,l3_wrong,4
c004,sentences,all_right,252
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.1920
c004,sentences,l2_wrong_share,0.1253
c004,sentences,l3_wrong_share,0.0107
c004,sentences,all_right_share,0.6720
c004,sentences,l1_share_of_disagreements,0.5854
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,82
pooled,blocks,hits,77
pooled,blocks,misses,6
pooled,blocks,extras,5
pooled,blocks,near_misses,2
pooled,blocks,rule_agree,76
pooled,blocks,precision,0.9390
pooled,blocks,recall,0.9277
pooled,blocks,f1,0.9333
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,77
pooled,next_node,rate,0.9506
pooled,next_node,confusions,Planning->Reasoning:1; Planning->Assumption:1; Planning->Restatement:1; Assumption->Planning:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,361
pooled,nodes,end_hits,305
pooled,nodes,end_misses,34
pooled,nodes,end_extras,56
pooled,nodes,matched_l1_agree,287
pooled,nodes,split,31
pooled,nodes,merged,49
pooled,nodes,precision,0.8449
pooled,nodes,recall,0.8997
pooled,nodes,f1,0.8714
pooled,nodes,matched_l1_rate,0.8466
pooled,sentences,l1_wrong,107
pooled,sentences,l2_wrong,63
pooled,sentences,l3_wrong,11
pooled,sentences,all_right,448
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.1701
pooled,sentences,l2_wrong_share,0.1002
pooled,sentences,l3_wrong_share,0.0175
pooled,sentences,all_right_share,0.7122
pooled,sentences,l1_share_of_disagreements,0.5912
