level,reviewed,judge,count
1,Restatement,Reasoning,19
1,Reasoning,Conclusion,14
1,Planning,Restatement,11
1,Reasoning,Planning,10
1,Reflection,Reasoning,9
1,Restatement,Conclusion,9
1,Restatement,Example,8
1,Restatement,Knowledge,6
1,Knowledge,Reasoning,6
1,Restatement,Planning,5
1,Reasoning,Reflection,5
1,Reasoning,Restatement,4
1,Conclusion,Reasoning,2
1,Assumption,Planning,2
1,Planning,Reasoning,2
1,Reflection,Conclusion,2
1,Assumption,Reasoning,1
1,Knowledge,Planning,1
1,Reasoning,Assumption,1
1,Example,Reasoning,1
2,Reasoning > calculation,Reasoning > logical reasoning,17
2,Reasoning > hedge word analysis,Reasoning > option evaluation,10
2,Restatement > rephrasing an earlier sentence,Conclusion > intermediate conclusion,9
2,Reasoning > speculation,Reasoning > option evaluation,8
2,Restatement > rephrasing an earlier sentence,Reasoning > logical reasoning,8
2,Restatement > rephrasing an earlier sentence,Example > non-exhaustive listing,8
2,Reasoning > speculation,Reasoning > logical reasoning,7
2,Planning > initiate backtracking,Planning > initiate verification,7
2,Reasoning > logical reasoning,Conclusion > intermediate conclusion,6
2,Planning > local plan,Restatement > rephrasing the prompt,6
2,Reflection > meta-evaluation of a step,Reasoning > option evaluation,6
2,Restatement > rephrasing an earlier sentence,Knowledge > world knowledge,6
2,Reasoning > option evaluation,Conclusion > intermediate conclusion,4
2,Reasoning > option evaluation,Planning > local plan,4
2,Restatement > rephrasing an earlier sentence,Planning > local plan,4
2,Restatement > rephrasing an earlier sentence,Reasoning > option evaluation,4
2,Example > rhetorical example,Example > non-exhaustive listing,4
2,Planning > initiate verification,Restatement > rephrasing the prompt,3
2,Reasoning > speculation,Reasoning > comparison,3
2,Restatement > rephrasing an earlier sentence,Reasoning > defining symbols,3
