scope,group,metric,value
e036,blocks,n_reviewed,38
e036,blocks,n_judge,35
e036,blocks,hits,34
e036,blocks,misses,4
e036,blocks,extras,1
e036,blocks,near_misses,0
e036,blocks,precision,0.9714
e036,blocks,recall,0.8947
e036,blocks,f1,0.9315
e036,blocks,rule_agree,34
e036,blocks,r4_reviewed,4
e036,blocks,r4_judge,4
e036,blocks,r4_agree,4
e036,blocks,misses_idx,77 96 182 193
e036,blocks,extras_idx,84
e036,next_node,n_cuts,37
e036,next_node,agree,34
e036,next_node,rate,0.9189
e036,next_node,confusions,Planning->Reasoning:2; Planning->Restatement:1
e036,nodes,n_reviewed,147
e036,nodes,n_judge,138
e036,nodes,end_hits,132
e036,nodes,end_misses,15
e036,nodes,end_extras,6
e036,nodes,precision,0.9565
e036,nodes,recall,0.8980
e036,nodes,f1,0.9263
e036,nodes,matched_l1_agree,122
e036,nodes,matched_l1_rate,0.8299
e036,nodes,split,6
e036,nodes,merged,25
e036,sentences,l1_wrong,31
e036,sentences,l2_wrong,21
e036,sentences,l3_wrong,5
e036,sentences,all_right,197
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1220
e036,sentences,l2_wrong_share,0.0827
e036,sentences,l3_wrong_share,0.0197
e036,sentences,all_right_share,0.7756
e036,sentences,l1_share_of_disagreements,0.5439
c004,blocks,n_reviewed,47
c004,blocks,n_judge,43
c004,blocks,hits,41
c004,blocks,misses,6
c004,blocks,extras,2
c004,blocks,near_misses,1
c004,blocks,precision,0.9535
c004,blocks,recall,0.8723
c004,blocks,f1,0.9111
c004,blocks,rule_agree,41
c004,blocks,r4_reviewed,6
c004,blocks,r4_judge,6
c004,blocks,r4_agree,6
c004,blocks,misses_idx,13 114 116 216 227 356
c004,blocks,extras_idx,12 111
c004,next_node,n_cuts,46
c004,next_node,agree,43
c004,next_node,rate,0.9348
c004,next_node,confusions,Assumption->Planning:2; Planning->Restatement:1
c004,nodes,n_reviewed,193
c004,nodes,n_judge,207
c004,nodes,end_hits,174
c004,nodes,end_misses,19
c004,nodes,end_extras,33
c004,nodes,precision,0.8406
c004,nodes,recall,0.9016
c004,nodes,f1,0.8700
c004,nodes,matched_l1_agree,160
c004,nodes,matched_l1_rate,0.8290
c004,nodes,split,19
c004,nodes,merged,27
c004,sentences,l1_wrong,72
c004,sentences,l2_wrong,53
c004,sentences,l3_wrong,4
c004,sentences,all_right,246
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.1920
c004,sentences,l2_wrong_share,0.1413
c004,sentences,l3_wrong_share,0.0107
c004,sentences,all_right_share,0.6560
c004,sentences,l1_share_of_disagreements,0.5581
pooled,blocks,n_reviewed,85
pooled,blocks,n_judge,78
pooled,blocks,hits,75
pooled,blocks,misses,10
pooled,blocks,extras,3
pooled,blocks,near_misses,1
pooled,blocks,rule_agree,75
pooled,blocks,r4_reviewed,10
pooled,blocks,r4_judge,10
pooled,blocks,r4_agree,10
pooled,blocks,precision,0.9615
pooled,blocks,recall,0.8824
pooled,blocks,f1,0.9202
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,83
pooled,next_node,agree,77
pooled,next_node,rate,0.9277
pooled,next_node,confusions,Planning->Reasoning:2; Planning->Restatement:2; Assumption->Planning:2
pooled,nodes,n_reviewed,340
pooled,nodes,n_judge,345
pooled,nodes,end_hits,306
pooled,nodes,end_misses,34
pooled,nodes,end_extras,39
pooled,nodes,matched_l1_agree,282
pooled,nodes,split,25
pooled,nodes,merged,52
pooled,nodes,precision,0.8870
pooled,nodes,recall,0.9000
pooled,nodes,f1,0.8934
pooled,nodes,matched_l1_rate,0.8294
pooled,sentences,l1_wrong,103
pooled,sentences,l2_wrong,74
pooled,sentences,l3_wrong,9
pooled,sentences,all_right,443
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.1638
pooled,sentences,l2_wrong_share,0.1176
pooled,sentences,l3_wrong_share,0.0143
pooled,sentences,all_right_share,0.7043
pooled,sentences,l1_share_of_disagreements,0.5538
