level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
1,(all sentences),629,629,,,,,0.7917,0.8005,0.7435
2,(all sentences),629,629,,,,,0.6598,0.6661,0.6438
3,(all sentences),629,629,,,,,0.6486,0.6550,0.6375
1,Assumption,7,4,3,0.7500,0.4286,0.5455,,,
1,Conclusion,40,61,35,0.5738,0.8750,0.6931,,,
1,Example,22,29,21,0.7241,0.9545,0.8235,,,
1,Knowledge,30,29,22,0.7586,0.7333,0.7458,,,
1,Planning,177,179,160,0.8939,0.9040,0.8989,,,
1,Reasoning,206,208,170,0.8173,0.8252,0.8213,,,
1,Reflection,36,30,23,0.7667,0.6389,0.6970,,,
1,Restatement,123,90,76,0.8444,0.6179,0.7136,,,
2,Assumption > assuming a missing premise by common practice,1,1,0,0.0000,0.0000,0.0000,,,
2,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > branching (case split),5,3,3,1.0000,0.6000,0.7500,,,
2,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
2,Conclusion > intermediate conclusion,37,58,32,0.5517,0.8649,0.6737,,,
2,Example > non-exhaustive listing,17,29,17,0.5862,1.0000,0.7391,,,
2,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > concept or definition,6,5,5,1.0000,0.8333,0.9091,,,
2,Knowledge > self-knowledge,5,4,4,1.0000,0.8000,0.8889,,,
2,Knowledge > world knowledge,16,20,13,0.6500,0.8125,0.7222,,,
2,Planning > announce output,16,19,16,0.8421,1.0000,0.9143,,,
2,Planning > announce the conclusion,5,2,2,1.0000,0.4000,0.5714,,,
2,Planning > global plan,35,38,31,0.8158,0.8857,0.8493,,,
2,Planning > initiate backtracking,8,4,1,0.2500,0.1250,0.1667,,,
2,Planning > initiate verification,42,38,27,0.7105,0.6429,0.6750,,,
2,Planning > local plan,71,78,61,0.7821,0.8592,0.8188,,,
2,Reasoning > calculation,35,14,9,0.6429,0.2571,0.3673,,,
2,Reasoning > commonsense reasoning,12,14,10,0.7143,0.8333,0.7692,,,
2,Reasoning > comparison,17,16,11,0.6875,0.6471,0.6667,,,
2,Reasoning > defining symbols,15,17,10,0.5882,0.6667,0.6250,,,
2,Reasoning > hedge word analysis,13,2,2,1.0000,0.1538,0.2667,,,
2,Reasoning > logical reasoning,38,66,27,0.4091,0.7105,0.5192,,,
2,Reasoning > option evaluation,45,67,33,0.4925,0.7333,0.5893,,,
2,Reasoning > speculation,32,12,9,0.7500,0.2812,0.4091,,,
2,Reflection > emotion or impression,1,1,0,0.0000,0.0000,0.0000,,,
2,Reflection > meta-evaluation of a step,35,28,23,0.8214,0.6571,0.7302,,,
2,Reflection > unspecified,0,1,0,0.0000,0.0000,0.0000,,,
2,Restatement > rephrasing an earlier sentence,70,33,25,0.7576,0.3571,0.4854,,,
2,Restatement > rephrasing the prompt,53,57,50,0.8772,0.9434,0.9091,,,
3,"Assumption > assuming a missing premise by common practice > ""$1.00 more""",1,1,0,0.0000,0.0000,0.0000,,,
3,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
