scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,33
e036,blocks,hits,30
e036,blocks,misses,7
e036,blocks,extras,3
e036,blocks,near_misses,0
e036,blocks,precision,0.9091
e036,blocks,recall,0.8108
e036,blocks,f1,0.8571
e036,blocks,rule_agree,30
e036,blocks,misses_idx,19 20 77 96 117 152 193
e036,blocks,extras_idx,84 91 130
e036,next_node,n_cuts,36
e036,next_node,agree,33
e036,next_node,rate,0.9167
e036,next_node,confusions,Planning->Restatement:2; Planning->Reasoning:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,142
e036,nodes,end_hits,125
e036,nodes,end_misses,21
e036,nodes,end_extras,17
e036,nodes,precision,0.8803
e036,nodes,recall,0.8562
e036,nodes,f1,0.8681
e036,nodes,matched_l1_agree,113
e036,nodes,matched_l1_rate,0.7740
e036,nodes,split,13
e036,nodes,merged,34
e036,sentences,l1_wrong,46
e036,sentences,l2_wrong,21
e036,sentences,l3_wrong,4
e036,sentences,all_right,183
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1811
e036,sentences,l2_wrong_share,0.0827
e036,sentences,l3_wrong_share,0.0157
e036,sentences,all_right_share,0.7205
e036,sentences,l1_share_of_disagreements,0.6479
c004,blocks,n_reviewed,46
c004,blocks,n_judge,43
c004,blocks,hits,42
c004,blocks,misses,4
c004,blocks,extras,1
c004,blocks,near_misses,1
c004,blocks,precision,0.9767
c004,blocks,recall,0.9130
c004,blocks,f1,0.9438
c004,blocks,rule_agree,41
c004,blocks,misses_idx,13 114 216 227
c004,blocks,extras_idx,12
c004,next_node,n_cuts,45
c004,next_node,agree,41
c004,next_node,rate,0.9111
c004,next_node,confusions,Planning->Restatement:2; Assumption->Planning:2
c004,nodes,n_reviewed,193
c004,nodes,n_judge,210
c004,nodes,end_hits,170
c004,nodes,end_misses,23
c004,nodes,end_extras,40
c004,nodes,precision,0.8095
c004,nodes,recall,0.8808
c004,nodes,f1,0.8437
c004,nodes,matched_l1_agree,148
c004,nodes,matched_l1_rate,0.7668
c004,nodes,split,17
c004,nodes,merged,35
c004,sentences,l1_wrong,85
c004,sentences,l2_wrong,62
c004,sentences,l3_wrong,3
c004,sentences,all_right,225
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.2267
c004,sentences,l2_wrong_share,0.1653
c004,sentences,l3_wrong_share,0.0080
c004,sentences,all_right_share,0.6000
c004,sentences,l1_share_of_disagreements,0.5667
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,76
pooled,blocks,hits,72
pooled,blocks,misses,11
pooled,blocks,extras,4
pooled,blocks,near_misses,1
pooled,blocks,rule_agree,71
pooled,blocks,precision,0.9474
pooled,blocks,recall,0.8675
pooled,blocks,f1,0.9057
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,74
pooled,next_node,rate,0.9136
pooled,next_node,confusions,Planning->Restatement:4; Assumption->Planning:2; Planning->Reasoning:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,352
pooled,nodes,end_hits,295
pooled,nodes,end_misses,44
pooled,nodes,end_extras,57
pooled,nodes,matched_l1_agree,261
pooled,nodes,split,30
pooled,nodes,merged,69
pooled,nodes,precision,0.8381
pooled,nodes,recall,0.8702
pooled,nodes,f1,0.8538
pooled,nodes,matched_l1_rate,0.7699
pooled,sentences,l1_wrong,131
pooled,sentences,l2_wrong,83
pooled,sentences,l3_wrong,7
pooled,sentences,all_right,408
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.2083
pooled,sentences,l2_wrong_share,0.1320
pooled,sentences,l3_wrong_share,0.0111
pooled,sentences,all_right_share,0.6486
pooled,sentences,l1_share_of_disagreements,0.5928
