scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,37
e036,blocks,hits,28
e036,blocks,misses,9
e036,blocks,extras,9
e036,blocks,near_misses,2
e036,blocks,precision,0.7568
e036,blocks,recall,0.7568
e036,blocks,f1,0.7568
e036,blocks,rule_agree,27
e036,blocks,misses_idx,12 19 77 96 117 182 187 193 204
e036,blocks,extras_idx,142 153 164 165 176 186 214 218 246
e036,next_node,n_cuts,36
e036,next_node,agree,32
e036,next_node,rate,0.8889
e036,next_node,confusions,Planning->Reasoning:2; Planning->Restatement:1; Conclusion->Planning:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,152
e036,nodes,end_hits,126
e036,nodes,end_misses,20
e036,nodes,end_extras,26
e036,nodes,precision,0.8289
e036,nodes,recall,0.8630
e036,nodes,f1,0.8456
e036,nodes,matched_l1_agree,118
e036,nodes,matched_l1_rate,0.8082
e036,nodes,split,12
e036,nodes,merged,31
e036,sentences,l1_wrong,53
e036,sentences,l2_wrong,33
e036,sentences,l3_wrong,7
e036,sentences,all_right,161
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.2087
e036,sentences,l2_wrong_share,0.1299
e036,sentences,l3_wrong_share,0.0276
e036,sentences,all_right_share,0.6339
e036,sentences,l1_share_of_disagreements,0.5699
c004,blocks,n_reviewed,46
c004,blocks,n_judge,40
c004,blocks,hits,37
c004,blocks,misses,9
c004,blocks,extras,3
c004,blocks,near_misses,0
c004,blocks,precision,0.9250
c004,blocks,recall,0.8043
c004,blocks,f1,0.8605
c004,blocks,rule_agree,36
c004,blocks,misses_idx,8 13 36 58 79 216 325 340 342
c004,blocks,extras_idx,111 161 291
c004,next_node,n_cuts,45
c004,next_node,agree,41
c004,next_node,rate,0.9111
c004,next_node,confusions,Assumption->Planning:2; Planning->Reasoning:2
c004,nodes,n_reviewed,193
c004,nodes,n_judge,202
c004,nodes,end_hits,167
c004,nodes,end_misses,26
c004,nodes,end_extras,35
c004,nodes,precision,0.8267
c004,nodes,recall,0.8653
c004,nodes,f1,0.8456
c004,nodes,matched_l1_agree,142
c004,nodes,matched_l1_rate,0.7358
c004,nodes,split,17
c004,nodes,merged,37
c004,sentences,l1_wrong,95
c004,sentences,l2_wrong,63
c004,sentences,l3_wrong,3
c004,sentences,all_right,214
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.2533
c004,sentences,l2_wrong_share,0.1680
c004,sentences,l3_wrong_share,0.0080
c004,sentences,all_right_share,0.5707
c004,sentences,l1_share_of_disagreements,0.5901
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,77
pooled,blocks,hits,65
pooled,blocks,misses,18
pooled,blocks,extras,12
pooled,blocks,near_misses,2
pooled,blocks,rule_agree,63
pooled,blocks,precision,0.8442
pooled,blocks,recall,0.7831
pooled,blocks,f1,0.8125
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,73
pooled,next_node,rate,0.9012
pooled,next_node,confusions,Planning->Reasoning:4; Assumption->Planning:2; Planning->Restatement:1; Conclusion->Planning:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,354
pooled,nodes,end_hits,293
pooled,nodes,end_misses,46
pooled,nodes,end_extras,61
pooled,nodes,matched_l1_agree,260
pooled,nodes,split,29
pooled,nodes,merged,68
pooled,nodes,precision,0.8277
pooled,nodes,recall,0.8643
pooled,nodes,f1,0.8456
pooled,nodes,matched_l1_rate,0.7670
pooled,sentences,l1_wrong,148
pooled,sentences,l2_wrong,96
pooled,sentences,l3_wrong,10
pooled,sentences,all_right,375
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.2353
pooled,sentences,l2_wrong_share,0.1526
pooled,sentences,l3_wrong_share,0.0159
pooled,sentences,all_right_share,0.5962
pooled,sentences,l1_share_of_disagreements,0.5827
