scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,34
e036,blocks,hits,33
e036,blocks,misses,4
e036,blocks,extras,1
e036,blocks,near_misses,0
e036,blocks,precision,0.9706
e036,blocks,recall,0.8919
e036,blocks,f1,0.9296
e036,blocks,rule_agree,33
e036,blocks,r4_reviewed,0
e036,blocks,r4_judge,0
e036,blocks,r4_agree,0
e036,blocks,misses_idx,77 96 182 193
e036,blocks,extras_idx,84
e036,next_node,n_cuts,36
e036,next_node,agree,33
e036,next_node,rate,0.9167
e036,next_node,confusions,Planning->Reasoning:2; Planning->Restatement:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,137
e036,nodes,end_hits,131
e036,nodes,end_misses,15
e036,nodes,end_extras,6
e036,nodes,precision,0.9562
e036,nodes,recall,0.8973
e036,nodes,f1,0.9258
e036,nodes,matched_l1_agree,121
e036,nodes,matched_l1_rate,0.8288
e036,nodes,split,6
e036,nodes,merged,25
e036,sentences,l1_wrong,31
e036,sentences,l2_wrong,21
e036,sentences,l3_wrong,7
e036,sentences,all_right,195
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.1220
e036,sentences,l2_wrong_share,0.0827
e036,sentences,l3_wrong_share,0.0276
e036,sentences,all_right_share,0.7677
e036,sentences,l1_share_of_disagreements,0.5254
c004,blocks,n_reviewed,46
c004,blocks,n_judge,43
c004,blocks,hits,40
c004,blocks,misses,6
c004,blocks,extras,3
c004,blocks,near_misses,1
c004,blocks,precision,0.9302
c004,blocks,recall,0.8696
c004,blocks,f1,0.8989
c004,blocks,rule_agree,40
c004,blocks,r4_reviewed,0
c004,blocks,r4_judge,0
c004,blocks,r4_agree,0
c004,blocks,misses_idx,13 114 116 216 227 356
c004,blocks,extras_idx,12 42 111
c004,next_node,n_cuts,45
c004,next_node,agree,42
c004,next_node,rate,0.9333
c004,next_node,confusions,Assumption->Planning:2; Planning->Restatement:1
c004,nodes,n_reviewed,193
c004,nodes,n_judge,207
c004,nodes,end_hits,174
c004,nodes,end_misses,19
c004,nodes,end_extras,33
c004,nodes,precision,0.8406
c004,nodes,recall,0.9016
c004,nodes,f1,0.8700
c004,nodes,matched_l1_agree,159
c004,nodes,matched_l1_rate,0.8238
c004,nodes,split,19
c004,nodes,merged,27
c004,sentences,l1_wrong,73
c004,sentences,l2_wrong,53
c004,sentences,l3_wrong,5
c004,sentences,all_right,244
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.1947
c004,sentences,l2_wrong_share,0.1413
c004,sentences,l3_wrong_share,0.0133
c004,sentences,all_right_share,0.6507
c004,sentences,l1_share_of_disagreements,0.5573
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,77
pooled,blocks,hits,73
pooled,blocks,misses,10
pooled,blocks,extras,4
pooled,blocks,near_misses,1
pooled,blocks,rule_agree,73
pooled,blocks,r4_reviewed,0
pooled,blocks,r4_judge,0
pooled,blocks,r4_agree,0
pooled,blocks,precision,0.9481
pooled,blocks,recall,0.8795
pooled,blocks,f1,0.9125
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,75
pooled,next_node,rate,0.9259
pooled,next_node,confusions,Planning->Reasoning:2; Planning->Restatement:2; Assumption->Planning:2
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,344
pooled,nodes,end_hits,305
pooled,nodes,end_misses,34
pooled,nodes,end_extras,39
pooled,nodes,matched_l1_agree,280
pooled,nodes,split,25
pooled,nodes,merged,52
pooled,nodes,precision,0.8866
pooled,nodes,recall,0.8997
pooled,nodes,f1,0.8931
pooled,nodes,matched_l1_rate,0.8260
pooled,sentences,l1_wrong,104
pooled,sentences,l2_wrong,74
pooled,sentences,l3_wrong,12
pooled,sentences,all_right,439
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.1653
pooled,sentences,l2_wrong_share,0.1176
pooled,sentences,l3_wrong_share,0.0191
pooled,sentences,all_right_share,0.6979
pooled,sentences,l1_share_of_disagreements,0.5474
