scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,20
e036,blocks,hits,11
e036,blocks,misses,26
e036,blocks,extras,9
e036,blocks,near_misses,7
e036,blocks,precision,0.5500
e036,blocks,recall,0.2973
e036,blocks,f1,0.3860
e036,blocks,rule_agree,11
e036,blocks,misses_idx,12 19 20 42 71 75 77 93 96 105 144 152 154 166 168 174 177 182 187 193 204 207 213 215 220 251
e036,blocks,extras_idx,145 164 169 178 188 208 216 222 252
e036,next_node,n_cuts,36
e036,next_node,agree,17
e036,next_node,rate,0.4722
e036,next_node,confusions,Planning->Reflection:10; Planning->Reasoning:6; Planning->Restatement:2; Planning->Assumption:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,80
e036,nodes,end_hits,66
e036,nodes,end_misses,80
e036,nodes,end_extras,14
e036,nodes,precision,0.8250
e036,nodes,recall,0.4521
e036,nodes,f1,0.5841
e036,nodes,matched_l1_agree,70
e036,nodes,matched_l1_rate,0.4795
e036,nodes,split,13
e036,nodes,merged,104
e036,sentences,l1_wrong,117
e036,sentences,l2_wrong,49
e036,sentences,l3_wrong,4
e036,sentences,all_right,84
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.4606
e036,sentences,l2_wrong_share,0.1929
e036,sentences,l3_wrong_share,0.0157
e036,sentences,all_right_share,0.3307
e036,sentences,l1_share_of_disagreements,0.6882
c004,blocks,n_reviewed,46
c004,blocks,n_judge,14
c004,blocks,hits,14
c004,blocks,misses,32
c004,blocks,extras,0
c004,blocks,near_misses,0
c004,blocks,precision,1.0000
c004,blocks,recall,0.3043
c004,blocks,f1,0.4667
c004,blocks,rule_agree,14
c004,blocks,misses_idx,8 13 15 23 31 36 43 58 98 114 116 132 144 148 166 171 190 199 202 209 216 227 229 254 263 266 277 302 330 342 344 356
c004,blocks,extras_idx,
c004,next_node,n_cuts,45
c004,next_node,agree,26
c004,next_node,rate,0.5778
c004,next_node,confusions,Planning->Reasoning:14; Assumption->Reasoning:5
c004,nodes,n_reviewed,193
c004,nodes,n_judge,45
c004,nodes,end_hits,38
c004,nodes,end_misses,155
c004,nodes,end_extras,7
c004,nodes,precision,0.8444
c004,nodes,recall,0.1969
c004,nodes,f1,0.3193
c004,nodes,matched_l1_agree,70
c004,nodes,matched_l1_rate,0.3627
c004,nodes,split,7
c004,nodes,merged,178
c004,sentences,l1_wrong,208
c004,sentences,l2_wrong,85
c004,sentences,l3_wrong,8
c004,sentences,all_right,74
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.5547
c004,sentences,l2_wrong_share,0.2267
c004,sentences,l3_wrong_share,0.0213
c004,sentences,all_right_share,0.1973
c004,sentences,l1_share_of_disagreements,0.6910
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,34
pooled,blocks,hits,25
pooled,blocks,misses,58
pooled,blocks,extras,9
pooled,blocks,near_misses,7
pooled,blocks,rule_agree,25
pooled,blocks,precision,0.7353
pooled,blocks,recall,0.3012
pooled,blocks,f1,0.4274
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,43
pooled,next_node,rate,0.5309
pooled,next_node,confusions,Planning->Reasoning:20; Planning->Reflection:10; Assumption->Reasoning:5; Planning->Restatement:2; Planning->Assumption:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,125
pooled,nodes,end_hits,104
pooled,nodes,end_misses,235
pooled,nodes,end_extras,21
pooled,nodes,matched_l1_agree,140
pooled,nodes,split,20
pooled,nodes,merged,282
pooled,nodes,precision,0.8320
pooled,nodes,recall,0.3068
pooled,nodes,f1,0.4483
pooled,nodes,matched_l1_rate,0.4130
pooled,sentences,l1_wrong,325
pooled,sentences,l2_wrong,134
pooled,sentences,l3_wrong,12
pooled,sentences,all_right,158
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.5167
pooled,sentences,l2_wrong_share,0.2130
pooled,sentences,l3_wrong_share,0.0191
pooled,sentences,all_right_share,0.2512
pooled,sentences,l1_share_of_disagreements,0.6900
