0 Re.cr
1 Co.ic
2 Pl.iv
3 Re.sp.iot
4 Re.lr
5 Re.oe.E
6-7 Re.oe.C
8 Re.oe.E
9 Pl.iv
10 Re.sp
11 Pl.iv.wdm+Re.sp.iot
12 Re.sp.iot
13 Kn.sk.ro
14 Pl.lp
15 As.aau
16 Re.co.pvo
17 Pl.lp
18-19 Rs.rae
20 Co.ic
21 Re.oe.E
22 Re.oe.F
23 Rf.meo.E
24 Pl.iv
25-26 Re.sp
27-28 Kn.wk
29 Re.sp.iot
30 Co.ic
31 Pl.iv
32-34 Rs.rae
35 Pl.gp
36 Re.co.ovo
37 Pl.iv.wdm
38 Rs.rtp.ot
39 Re.oe.C
40 Rf.meo.C
41 Kn.cod.wp
42 Co.ic
43 Pl.gp
44-53 Pl.lp
54 Pl.iv
55-56 Re.lr
57-58 Re.oe.E
59-60 Pl.lp
61 Re.oe.F
62 Rf.meo.E
63 Co.ic
64 Pl.iv
65 Re.sp
66 Rf.meo.E
67 Re.sp.iot
68-69 Pl.gp
70-76 Pl.lp
77 Pl.iv.wdm
78 Re.sp.iot
79 Kn.sk.ro
80 Pl.lp
81 Rs.rae
82 Co.ic
83 Pl.iv
84-86 Kn.wk.fpc
87 Re.co.pvo
88 Rf.eoi
89 Pl.lp
90 Pl.iv
91 Re.lr.al
92-93 Rs.rae
94 Re.oe.E
95 Pl.gp
96 Rs.rae
97 Pl.lp
98 Kn.wk.fpc
99 Rs.rtp.ot
100-107 Rs.rae
108-109 Co.fa
110 Rf.meo
111 Pl.ao
112 Pl.lp
113 Rs.rtp.ot
114 Re.oe.C
115 Rf.meo.E
116 Rf.eoi
117 Rf.meo
118 Pl.ao
119 Pl.gp
120 Pl.iv.wdm
121 Re.lr
122-123 Re.sp.iot
124 Co.ic
125 Pl.iv
126 Rs.rtp.afi
127 Pl.lp
128 Rf.meo
129-130 Pl.ao
131 Rs.rae
132-133 Co.fa
134 Pl.ao
135 Rf.meo
136-138 Rs.rae
139 Co.fa
140 Co.fa+Rf.meo
141 Pl.gp
142 Pl.iv
143 Re.oe.F
144 Re.co.ovo
145 Co.ic
146-147 Re.oe.F
148 Kn.cod.wp
149 Pl.ao
150 Rf.meo
151 Pl.ao
152 Rs.rae
153-154 Co.fa
155 Rf.meo
156-157 Pl.ao
158-159 Rs.rae
160-161 Re.ds.al
162 Pl.lp
163-167 Rs.rae
168 Re.oe.C
169-170 Co.fa
171 Rf.meo
172 Pl.ao
