id,jsonl_line,condition,seq_in_condition,letters
s0819_eval1multi1_001,1,eval1_multi1,1,E
s0819_eval1multi1_002,2,eval1_multi1,2,E
s0819_eval1multi1_003,3,eval1_multi1,3,E
s0819_eval1multi1_004,4,eval1_multi1,4,E
s0819_eval1multi1_005,5,eval1_multi1,5,E
s0819_eval1multi1_006,6,eval1_multi1,6,E
s0819_eval1multi1_007,7,eval1_multi1,7,E
s0819_eval1multi1_008,8,eval1_multi1,8,E
s0819_eval1multi1_009,9,eval1_multi1,9,E
s0819_eval1multi1_010,10,eval1_multi1,10,"C,E"
s0819_eval1multi1_011,11,eval1_multi1,11,E
s0819_eval1multi1_012,12,eval1_multi1,12,E
s0819_eval1multi1_013,13,eval1_multi1,13,E
s0819_eval1multi1_014,14,eval1_multi1,14,E
s0819_eval1multi1_015,15,eval1_multi1,15,E
s0819_eval1multi1_016,16,eval1_multi1,16,E
s0819_eval1multi1_017,17,eval1_multi1,17,E
s0819_eval1multi1_018,18,eval1_multi1,18,E
s0819_eval1multi1_019,19,eval1_multi1,19,E
s0819_eval1multi1_020,20,eval1_multi1,20,E
s0819_eval1multi1_021,21,eval1_multi1,21,E
s0819_eval1multi1_022,22,eval1_multi1,22,E
s0819_eval1multi1_023,23,eval1_multi1,23,E
s0819_eval1multi1_024,24,eval1_multi1,24,E
s0819_eval1multi1_025,25,eval1_multi1,25,"C,E"
s0819_eval1multi1_026,26,eval1_multi1,26,"C,E"
s0819_eval1multi1_027,27,eval1_multi1,27,E
s0819_eval1multi1_028,28,eval1_multi1,28,E
s0819_eval1multi1_029,29,eval1_multi1,29,E
s0819_eval1multi1_030,30,eval1_multi1,30,E
s0819_eval1multi1_031,31,eval1_multi1,31,E
s0819_eval1multi1_032,32,eval1_multi1,32,E
s0819_eval1multi1_033,33,eval1_multi1,33,E
s0819_eval1multi1_034,34,eval1_multi1,34,E
s0819_eval1multi1_035,35,eval1_multi1,35,E
s0819_eval1multi1_036,36,eval1_multi1,36,E
s0819_eval1multi1_037,37,eval1_multi1,37,E
s0819_eval1multi1_038,38,eval1_multi1,38,E
s0819_eval1multi1_039,39,eval1_multi1,39,E
s0819_eval1multi1_040,40,eval1_multi1,40,E
s0819_eval1multi1_041,41,eval1_multi1,41,E
s0819_eval1multi1_042,42,eval1_multi1,42,E
s0819_eval1multi1_043,43,eval1_multi1,43,E
s0819_eval1multi1_044,44,eval1_multi1,44,E
s0819_eval1multi1_045,45,eval1_multi1,45,E
s0819_eval1multi1_046,46,eval1_multi1,46,"C,E"
s0819_eval1multi1_047,47,eval1_multi1,47,E
s0819_eval1multi1_048,48,eval1_multi1,48,E
s0819_eval1multi0_001,49,eval1_multi0,1,E
s0819_eval1multi1_049,50,eval1_multi1,49,"C,E"
s0819_eval1multi1_050,51,eval1_multi1,50,E
s0819_eval1multi0_002,52,eval1_multi0,2,E
s0819_eval1multi0_003,53,eval1_multi0,3,E
s0819_eval1multi0_004,54,eval1_multi0,4,E
s0819_eval1multi0_005,55,eval1_multi0,5,E
s0819_eval1multi0_006,56,eval1_multi0,6,E
s0819_eval1multi0_007,57,eval1_multi0,7,E
s0819_eval1multi0_008,58,eval1_multi0,8,E
s0819_eval1multi0_009,59,eval1_multi0,9,E
s0819_eval1multi0_010,60,eval1_multi0,10,E
s0819_eval1multi0_011,61,eval1_multi0,11,E
s0819_eval1multi0_012,62,eval1_multi0,12,E
s0819_eval1multi0_013,63,eval1_multi0,13,E
s0819_eval1multi0_014,64,eval1_multi0,14,E
s0819_eval1multi0_015,65,eval1_multi0,15,E
s0819_eval1multi0_016,66,eval1_multi0,16,E
s0819_eval1multi0_017,67,eval1_multi0,17,E
s0819_eval1multi0_018,68,eval1_multi0,18,E
s0819_eval1multi0_019,69,eval1_multi0,19,C
s0819_eval1multi0_020,70,eval1_multi0,20,E
s0819_eval1multi0_021,71,eval1_multi0,21,E
s0819_eval1multi0_022,72,eval1_multi0,22,E
s0819_eval1multi0_023,73,eval1_multi0,23,E
s0819_eval1multi0_024,74,eval1_multi0,24,E
s0819_eval1multi0_025,75,eval1_multi0,25,E
s0819_eval1multi0_026,76,eval1_multi0,26,E
s0819_eval1multi0_027,77,eval1_multi0,27,C
s0819_eval1multi0_028,78,eval1_multi0,28,E
s0819_eval1multi0_029,79,eval1_multi0,29,C
s0819_eval1multi0_030,80,eval1_multi0,30,E
s0819_eval1multi0_031,81,eval1_multi0,31,E
s0819_eval1multi0_032,82,eval1_multi0,32,E
s0819_eval1multi0_033,83,eval1_multi0,33,E
s0819_eval1multi0_034,84,eval1_multi0,34,E
s0819_eval1multi0_035,85,eval1_multi0,35,E
s0819_eval1multi0_036,86,eval1_multi0,36,E
s0819_eval1multi0_037,87,eval1_multi0,37,E
s0819_eval1multi0_038,88,eval1_multi0,38,E
s0819_eval1multi0_039,89,eval1_multi0,39,E
s0819_eval1multi0_040,90,eval1_multi0,40,E
s0819_eval1multi0_041,91,eval1_multi0,41,E
s0819_eval1multi0_042,92,eval1_multi0,42,E
s0819_eval1multi0_043,93,eval1_multi0,43,E
