scope,group,metric,value
e036,blocks,n_reviewed,37
e036,blocks,n_judge,15
e036,blocks,hits,13
e036,blocks,misses,24
e036,blocks,extras,2
e036,blocks,near_misses,2
e036,blocks,precision,0.8667
e036,blocks,recall,0.3514
e036,blocks,f1,0.5000
e036,blocks,rule_agree,13
e036,blocks,misses_idx,16 19 20 53 71 75 77 93 96 100 117 144 152 166 168 174 182 187 193 204 213 220 247 251
e036,blocks,extras_idx,188 252
e036,next_node,n_cuts,36
e036,next_node,agree,15
e036,next_node,rate,0.4167
e036,next_node,confusions,Planning->Reasoning:8; Planning->Reflection:7; Planning->Restatement:3; Planning->Conclusion:2; Planning->Assumption:1
e036,nodes,n_reviewed,146
e036,nodes,n_judge,49
e036,nodes,end_hits,35
e036,nodes,end_misses,111
e036,nodes,end_extras,14
e036,nodes,precision,0.7143
e036,nodes,recall,0.2397
e036,nodes,f1,0.3590
e036,nodes,matched_l1_agree,62
e036,nodes,matched_l1_rate,0.4247
e036,nodes,split,14
e036,nodes,merged,126
e036,sentences,l1_wrong,118
e036,sentences,l2_wrong,44
e036,sentences,l3_wrong,11
e036,sentences,all_right,81
e036,sentences,n,254
e036,sentences,l1_wrong_share,0.4646
e036,sentences,l2_wrong_share,0.1732
e036,sentences,l3_wrong_share,0.0433
e036,sentences,all_right_share,0.3189
e036,sentences,l1_share_of_disagreements,0.6821
c004,blocks,n_reviewed,46
c004,blocks,n_judge,5
c004,blocks,hits,5
c004,blocks,misses,41
c004,blocks,extras,0
c004,blocks,near_misses,0
c004,blocks,precision,1.0000
c004,blocks,recall,0.1087
c004,blocks,f1,0.1961
c004,blocks,rule_agree,5
c004,blocks,misses_idx,15 23 31 36 43 79 98 107 114 116 120 132 137 144 148 160 166 171 187 190 193 199 202 209 216 227 229 254 263 266 277 288 302 325 330 340 342 344 352 356 362
c004,blocks,extras_idx,
c004,next_node,n_cuts,45
c004,next_node,agree,15
c004,next_node,rate,0.3333
c004,next_node,confusions,Planning->Reasoning:24; Assumption->Reasoning:5; Planning->Conclusion:1
c004,nodes,n_reviewed,193
c004,nodes,n_judge,41
c004,nodes,end_hits,34
c004,nodes,end_misses,159
c004,nodes,end_extras,7
c004,nodes,precision,0.8293
c004,nodes,recall,0.1762
c004,nodes,f1,0.2906
c004,nodes,matched_l1_agree,74
c004,nodes,matched_l1_rate,0.3834
c004,nodes,split,7
c004,nodes,merged,174
c004,sentences,l1_wrong,185
c004,sentences,l2_wrong,96
c004,sentences,l3_wrong,25
c004,sentences,all_right,69
c004,sentences,n,375
c004,sentences,l1_wrong_share,0.4933
c004,sentences,l2_wrong_share,0.2560
c004,sentences,l3_wrong_share,0.0667
c004,sentences,all_right_share,0.1840
c004,sentences,l1_share_of_disagreements,0.6046
pooled,blocks,n_reviewed,83
pooled,blocks,n_judge,20
pooled,blocks,hits,18
pooled,blocks,misses,65
pooled,blocks,extras,2
pooled,blocks,near_misses,2
pooled,blocks,rule_agree,18
pooled,blocks,precision,0.9000
pooled,blocks,recall,0.2169
pooled,blocks,f1,0.3495
pooled,blocks,misses_idx,
pooled,blocks,extras_idx,
pooled,next_node,n_cuts,81
pooled,next_node,agree,30
pooled,next_node,rate,0.3704
pooled,next_node,confusions,Planning->Reasoning:32; Planning->Reflection:7; Assumption->Reasoning:5; Planning->Restatement:3; Planning->Conclusion:3; Planning->Assumption:1
pooled,nodes,n_reviewed,339
pooled,nodes,n_judge,90
pooled,nodes,end_hits,69
pooled,nodes,end_misses,270
pooled,nodes,end_extras,21
pooled,nodes,matched_l1_agree,136
pooled,nodes,split,21
pooled,nodes,merged,300
pooled,nodes,precision,0.7667
pooled,nodes,recall,0.2035
pooled,nodes,f1,0.3217
pooled,nodes,matched_l1_rate,0.4012
pooled,sentences,l1_wrong,303
pooled,sentences,l2_wrong,140
pooled,sentences,l3_wrong,36
pooled,sentences,all_right,150
pooled,sentences,n,629
pooled,sentences,l1_wrong_share,0.4817
pooled,sentences,l2_wrong_share,0.2226
pooled,sentences,l3_wrong_share,0.0572
pooled,sentences,all_right_share,0.2385
pooled,sentences,l1_share_of_disagreements,0.6326
