# s0_split collection=sweep44 2026-09-16T22:24:45 traces=44 records=15295
# trace_id	characters	sentences
s0819_eval0multi0_001	7469	158
s0819_eval0multi0_002	7882	181
s0819_eval0multi0_003	9900	210
s0819_eval0multi0_004	18690	375
s0819_eval0multi0_005	14548	354
s0819_eval0multi0_006	54428	1178
s0819_eval0multi0_007	42745	839
s0819_eval0multi0_008	11136	215
s0819_eval0multi0_009	30275	576
s0819_eval0multi0_010	7838	177
s0819_eval0multi0_011	10510	212
s0819_eval0multi0_012	29460	581
s0819_eval0multi0_013	8472	169
s0819_eval0multi0_014	8183	172
s0819_eval0multi0_015	6613	153
s0819_eval0multi0_016	10803	237
s0819_eval0multi0_017	8654	180
s0819_eval0multi0_018	13067	262
s0819_eval0multi0_019	7962	172
s0819_eval0multi0_020	45162	1037
s0819_eval0multi0_021	33668	632
s0819_eval0multi0_022	6352	144
s0819_eval0multi0_023	8612	200
s0819_eval0multi0_024	8973	194
s0819_eval0multi0_025	9082	192
s0819_eval0multi0_026	8544	172
s0819_eval0multi0_027	9716	184
s0819_eval0multi0_028	55458	1124
s0819_eval0multi0_029	7614	162
s0819_eval0multi0_030	7053	162
s0819_eval0multi0_031	9346	201
s0819_eval0multi0_032	8740	162
s0819_eval0multi0_033	31819	644
s0819_eval0multi0_034	7981	161
s0819_eval0multi0_035	9763	206
s0819_eval0multi0_036	11401	254
s0819_eval0multi0_037	6068	132
s0819_eval0multi0_038	8059	177
s0819_eval0multi0_039	7967	164
s0819_eval0multi0_040	9026	174
s0819_eval0multi0_041	10061	194
s0819_eval0multi0_042	8151	163
s0819_eval0multi0_043	50432	1054
s0819_eval0multi0_044	47993	1005
# s0_split collection=archived500 2026-09-16T22:24:49 traces=500 records=240620
# trace_id	characters	sentences
rs0823_cut000_003	8724	204
rs0823_cut000_000	8694	192
rs0823_cut000_001	11371	242
rs0823_cut000_005	8171	181
rs0823_cut000_006	8782	178
rs0823_cut000_007	9604	215
rs0823_cut000_008	9379	187
rs0823_cut000_009	9938	204
rs0823_cut000_010	9101	195
rs0823_cut000_011	9685	201
rs0823_cut000_002	6847	147
rs0823_cut000_012	12636	231
rs0823_cut000_013	9570	204
rs0823_cut000_014	10393	212
rs0823_cut000_004	10765	227
rs0823_cut000_016	12146	245
rs0823_cut000_018	8776	203
rs0823_cut000_019	29351	522
rs0823_cut000_015	59501	1144
rs0823_cut000_021	9202	206
rs0823_cut000_017	56082	1055
rs0823_cut000_022	9945	184
rs0823_cut000_023	8743	182
rs0823_cut000_024	8629	173
rs0823_cut000_020	58081	1216
rs0823_e036_cut060_000	6453	124
rs0823_e036_cut060_002	8868	196
rs0823_e036_cut060_003	8841	170
rs0823_e036_cut060_001	8888	191
rs0823_e036_cut060_005	7509	173
rs0823_e036_cut060_007	11175	226
rs0823_e036_cut060_006	11551	215
rs0823_e036_cut060_004	15093	288
rs0823_e036_cut060_008	9434	190
rs0823_e036_cut060_010	6681	128
rs0823_e036_cut060_011	7523	154
rs0823_e036_cut060_009	9192	176
rs0823_e036_cut060_012	8498	171
rs0823_e036_cut060_014	8519	159
rs0823_e036_cut060_013	9777	202
rs0823_e036_cut060_015	8781	174
rs0823_e036_cut060_016	7387	171
rs0823_e036_cut060_017	6808	140
rs0823_e036_cut060_018	7536	166
rs0823_e036_cut060_019	8879	176
rs0823_e036_cut060_020	7768	155
rs0823_e036_cut060_021	9922	195
rs0823_e036_cut060_022	7271	142
rs0823_e036_cut060_023	8211	136
rs0823_e036_cut060_024	7126	143
rs0823_e036_cut061_000	7121	144
rs0823_e036_cut061_001	8140	161
