level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
1,(all sentences),629,629,,,,,0.4833,0.4889,0.2881
2,(all sentences),629,629,,,,,0.2703,0.2742,0.2277
3,(all sentences),629,629,,,,,0.2512,0.2552,0.2231
1,Assumption,7,1,0,0.0000,0.0000,0.0000,,,
1,Conclusion,40,10,10,1.0000,0.2500,0.4000,,,
1,Example,22,7,6,0.8571,0.2727,0.4138,,,
1,Knowledge,30,3,2,0.6667,0.0667,0.1212,,,
1,Planning,177,131,83,0.6336,0.4689,0.5390,,,
1,Reasoning,206,418,171,0.4091,0.8301,0.5481,,,
1,Reflection,36,27,13,0.4815,0.3611,0.4127,,,
1,Restatement,123,32,26,0.8125,0.2114,0.3355,,,
2,Assumption > assuming a missing premise by common practice,1,1,0,0.0000,0.0000,0.0000,,,
2,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > branching (case split),5,0,0,0.0000,0.0000,0.0000,,,
2,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
2,Conclusion > intermediate conclusion,37,7,7,1.0000,0.1892,0.3182,,,
2,Example > non-exhaustive listing,17,7,6,0.8571,0.3529,0.5000,,,
2,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > concept or definition,6,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > self-knowledge,5,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > world knowledge,16,3,2,0.6667,0.1250,0.2105,,,
2,Planning > announce output,16,7,4,0.5714,0.2500,0.3478,,,
2,Planning > announce the conclusion,5,5,0,0.0000,0.0000,0.0000,,,
2,Planning > global plan,35,2,2,1.0000,0.0571,0.1081,,,
2,Planning > initiate backtracking,8,0,0,0.0000,0.0000,0.0000,,,
2,Planning > initiate verification,42,68,23,0.3382,0.5476,0.4182,,,
2,Planning > local plan,71,49,15,0.3061,0.2113,0.2500,,,
2,Reasoning > calculation,35,51,25,0.4902,0.7143,0.5814,,,
2,Reasoning > commonsense reasoning,12,10,9,0.9000,0.7500,0.8182,,,
2,Reasoning > comparison,17,32,5,0.1562,0.2941,0.2041,,,
2,Reasoning > defining symbols,15,14,6,0.4286,0.4000,0.4138,,,
2,Reasoning > hedge word analysis,13,0,0,0.0000,0.0000,0.0000,,,
2,Reasoning > logical reasoning,38,74,6,0.0811,0.1579,0.1071,,,
2,Reasoning > option evaluation,45,213,30,0.1408,0.6667,0.2326,,,
2,Reasoning > speculation,32,24,5,0.2083,0.1562,0.1786,,,
2,Reflection > emotion or impression,1,26,0,0.0000,0.0000,0.0000,,,
2,Reflection > meta-evaluation of a step,35,1,1,1.0000,0.0286,0.0556,,,
2,Restatement > rephrasing an earlier sentence,70,0,0,0.0000,0.0000,0.0000,,,
2,Restatement > rephrasing the prompt,53,32,26,0.8125,0.4906,0.6118,,,
3,"Assumption > assuming a missing premise by common practice > ""$1.00 more""",1,1,0,0.0000,0.0000,0.0000,,,
3,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split),1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split) > algebra,4,0,0,0.0000,0.0000,0.0000,,,
3,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
3,Conclusion > intermediate conclusion,37,7,7,1.0000,0.1892,0.3182,,,
3,Example > non-exhaustive listing > algebra,17,7,6,0.8571,0.3529,0.5000,,,
3,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > concept or definition > well-posedness,6,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > self-knowledge > evaluation context,1,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > self-knowledge > role,4,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > world knowledge > famous problem (CRT),16,3,2,0.6667,0.1250,0.2105,,,
3,Planning > announce output,16,7,4,0.5714,0.2500,0.3478,,,
3,Planning > announce the conclusion,5,5,0,0.0000,0.0000,0.0000,,,
3,Planning > global plan,35,2,2,1.0000,0.0571,0.1081,,,
3,Planning > initiate backtracking,8,0,0,0.0000,0.0000,0.0000,,,
3,Planning > initiate verification,42,68,23,0.3382,0.5476,0.4182,,,
3,Planning > local plan,71,49,15,0.3061,0.2113,0.2500,,,
3,Reasoning > calculation > algebra,35,51,25,0.4902,0.7143,0.5814,,,
3,Reasoning > commonsense reasoning,12,10,9,0.9000,0.7500,0.8182,,,
3,Reasoning > comparison > option vs option,8,13,2,0.1538,0.2500,0.1905,,,
3,Reasoning > comparison > prompt vs original text,9,19,3,0.1579,0.3333,0.2143,,,
3,Reasoning > defining symbols > algebra,15,14,6,0.4286,0.4000,0.4138,,,
3,Reasoning > hedge word analysis > everyday reading,4,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > mathematical reading,8,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > undecided,1,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > logical reasoning,20,62,3,0.0484,0.1500,0.0732,,,
