level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
1,(all sentences),629,629,,,,,0.7568,0.7660,0.7009
2,(all sentences),629,629,,,,,0.6439,0.6508,0.6284
3,(all sentences),629,629,,,,,0.6264,0.6333,0.6159
1,Assumption,7,4,3,0.7500,0.4286,0.5455,,,
1,Conclusion,40,56,32,0.5714,0.8000,0.6667,,,
1,Example,22,31,20,0.6452,0.9091,0.7547,,,
1,Knowledge,30,28,19,0.6786,0.6333,0.6552,,,
1,Planning,177,173,147,0.8497,0.8305,0.8400,,,
1,Reasoning,206,208,161,0.7740,0.7816,0.7778,,,
1,Reflection,36,36,24,0.6667,0.6667,0.6667,,,
1,Restatement,123,94,82,0.8723,0.6667,0.7558,,,
2,Assumption > assuming a missing premise by common practice,1,1,0,0.0000,0.0000,0.0000,,,
2,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > branching (case split),5,3,3,1.0000,0.6000,0.7500,,,
2,Conclusion > final answer,3,6,3,0.5000,1.0000,0.6667,,,
2,Conclusion > intermediate conclusion,37,50,26,0.5200,0.7027,0.5977,,,
2,Example > non-exhaustive listing,17,27,16,0.5926,0.9412,0.7273,,,
2,Example > rhetorical example,5,4,4,1.0000,0.8000,0.8889,,,
2,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > concept or definition,6,7,5,0.7143,0.8333,0.7692,,,
2,Knowledge > self-knowledge,5,3,3,1.0000,0.6000,0.7500,,,
2,Knowledge > world knowledge,16,18,11,0.6111,0.6875,0.6471,,,
2,Planning > announce output,16,17,15,0.8824,0.9375,0.9091,,,
2,Planning > announce the conclusion,5,3,2,0.6667,0.4000,0.5000,,,
2,Planning > global plan,35,36,31,0.8611,0.8857,0.8732,,,
2,Planning > initiate backtracking,8,2,1,0.5000,0.1250,0.2000,,,
2,Planning > initiate verification,42,42,30,0.7143,0.7143,0.7143,,,
2,Planning > local plan,71,73,54,0.7397,0.7606,0.7500,,,
2,Reasoning > calculation,35,18,12,0.6667,0.3429,0.4528,,,
2,Reasoning > commonsense reasoning,12,8,8,1.0000,0.6667,0.8000,,,
2,Reasoning > comparison,17,14,10,0.7143,0.5882,0.6452,,,
2,Reasoning > defining symbols,15,18,8,0.4444,0.5333,0.4848,,,
2,Reasoning > hedge word analysis,13,2,2,1.0000,0.1538,0.2667,,,
2,Reasoning > logical reasoning,38,46,23,0.5000,0.6053,0.5476,,,
2,Reasoning > option evaluation,45,87,34,0.3908,0.7556,0.5152,,,
2,Reasoning > speculation,32,15,8,0.5333,0.2500,0.3404,,,
2,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
2,Reflection > meta-evaluation of a step,35,33,24,0.7273,0.6857,0.7059,,,
2,Reflection > rhetorical phrase,0,1,0,0.0000,0.0000,0.0000,,,
2,Restatement > rephrasing an earlier sentence,70,38,32,0.8421,0.4571,0.5926,,,
2,Restatement > rephrasing the prompt,53,56,49,0.8750,0.9245,0.8991,,,
3,"Assumption > assuming a missing premise by common practice > ""$1.00 more""",1,1,0,0.0000,0.0000,0.0000,,,
3,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split),1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split) > algebra,4,3,3,1.0000,0.7500,0.8571,,,
3,Conclusion > final answer,3,6,3,0.5000,1.0000,0.6667,,,
3,Conclusion > intermediate conclusion,37,50,26,0.5200,0.7027,0.5977,,,
3,Example > non-exhaustive listing > algebra,17,27,16,0.5926,0.9412,0.7273,,,
3,Example > rhetorical example,5,4,4,1.0000,0.8000,0.8889,,,
3,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > concept or definition > well-posedness,6,7,5,0.7143,0.8333,0.7692,,,
3,Knowledge > self-knowledge > evaluation context,1,1,1,1.0000,1.0000,1.0000,,,
3,Knowledge > self-knowledge > role,4,2,2,1.0000,0.5000,0.6667,,,
3,Knowledge > world knowledge > famous problem (CRT),16,18,11,0.6111,0.6875,0.6471,,,
3,Planning > announce output,16,17,15,0.8824,0.9375,0.9091,,,
3,Planning > announce the conclusion,5,3,2,0.6667,0.4000,0.5000,,,
3,Planning > global plan,35,36,31,0.8611,0.8857,0.8732,,,
3,Planning > initiate backtracking,8,2,1,0.5000,0.1250,0.2000,,,
3,Planning > initiate verification,42,42,30,0.7143,0.7143,0.7143,,,
3,Planning > local plan,71,73,54,0.7397,0.7606,0.7500,,,
3,Reasoning > calculation,0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > calculation > algebra,35,17,11,0.6471,0.3143,0.4231,,,
3,Reasoning > commonsense reasoning,12,8,8,1.0000,0.6667,0.8000,,,
3,Reasoning > comparison > option vs option,8,4,2,0.5000,0.2500,0.3333,,,
3,Reasoning > comparison > prompt vs original text,9,10,8,0.8000,0.8889,0.8421,,,
3,Reasoning > defining symbols > algebra,15,18,8,0.4444,0.5333,0.4848,,,
3,Reasoning > hedge word analysis,0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > everyday reading,4,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > mathematical reading,8,1,1,1.0000,0.1250,0.2222,,,
3,Reasoning > hedge word analysis > undecided,1,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > logical reasoning,20,27,12,0.4444,0.6000,0.5106,,,
3,Reasoning > logical reasoning > algebra,18,19,6,0.3158,0.3333,0.3243,,,
3,Reasoning > option evaluation > (A),11,14,6,0.4286,0.5455,0.4800,,,
3,Reasoning > option evaluation > (B),0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (C),25,48,20,0.4167,0.8000,0.5479,,,
3,Reasoning > option evaluation > (E),9,14,8,0.5714,0.8889,0.6957,,,
3,Reasoning > option evaluation > (F),0,10,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation > intent of the question writer,32,15,8,0.5333,0.2500,0.3404,,,
3,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step,14,16,12,0.7500,0.8571,0.8000,,,
3,Reflection > meta-evaluation of a step > option (A),0,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (B),3,2,2,1.0000,0.6667,0.8000,,,
3,Reflection > meta-evaluation of a step > option (C),7,4,2,0.5000,0.2857,0.3636,,,
3,Reflection > meta-evaluation of a step > option (D),3,3,3,1.0000,1.0000,1.0000,,,
3,Reflection > meta-evaluation of a step > option (E),5,4,2,0.5000,0.4000,0.4444,,,
3,Reflection > meta-evaluation of a step > option (F),3,2,2,1.0000,0.6667,0.8000,,,
3,Reflection > rhetorical phrase,0,1,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing an earlier sentence,70,38,32,0.8421,0.4571,0.5926,,,
3,Restatement > rephrasing the prompt > answer-format instruction,7,9,7,0.7778,1.0000,0.8750,,,
3,Restatement > rephrasing the prompt > option text,24,29,22,0.7586,0.9167,0.8302,,,
3,Restatement > rephrasing the prompt > question text,22,18,17,0.9444,0.7727,0.8500,,,
