level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
1,(all sentences),629,629,,,,,0.8299,0.8352,0.7934
2,(all sentences),629,629,,,,,0.7297,0.7332,0.7164
3,(all sentences),629,629,,,,,0.7122,0.7157,0.7022
1,Assumption,7,10,5,0.5000,0.7143,0.5882,,,
1,Conclusion,40,61,36,0.5902,0.9000,0.7129,,,
1,Example,22,26,21,0.8077,0.9545,0.8750,,,
1,Knowledge,30,32,27,0.8438,0.9000,0.8710,,,
1,Planning,177,175,162,0.9257,0.9153,0.9205,,,
1,Reasoning,206,177,157,0.8870,0.7621,0.8198,,,
1,Reflection,36,36,27,0.7500,0.7500,0.7500,,,
1,Restatement,123,117,98,0.8376,0.7967,0.8167,,,
2,Assumption > assuming a missing premise by common practice,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > assuming an uncertain fact,1,1,0,0.0000,0.0000,0.0000,,,
2,Assumption > branching (case split),5,9,4,0.4444,0.8000,0.5714,,,
2,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
2,Conclusion > intermediate conclusion,37,58,33,0.5690,0.8919,0.6947,,,
2,Example > non-exhaustive listing,17,21,16,0.7619,0.9412,0.8421,,,
2,Example > rhetorical example,5,5,5,1.0000,1.0000,1.0000,,,
2,Knowledge > commonsense,3,1,1,1.0000,0.3333,0.5000,,,
2,Knowledge > concept or definition,6,5,5,1.0000,0.8333,0.9091,,,
2,Knowledge > self-knowledge,5,5,5,1.0000,1.0000,1.0000,,,
2,Knowledge > world knowledge,16,21,15,0.7143,0.9375,0.8108,,,
2,Planning > announce output,16,17,16,0.9412,1.0000,0.9697,,,
2,Planning > announce the conclusion,5,5,4,0.8000,0.8000,0.8000,,,
2,Planning > global plan,35,34,31,0.9118,0.8857,0.8986,,,
2,Planning > initiate backtracking,8,8,2,0.2500,0.2500,0.2500,,,
2,Planning > initiate verification,42,34,30,0.8824,0.7143,0.7895,,,
2,Planning > local plan,71,77,62,0.8052,0.8732,0.8378,,,
2,Reasoning > calculation,35,17,14,0.8235,0.4000,0.5385,,,
2,Reasoning > commonsense reasoning,12,13,11,0.8462,0.9167,0.8800,,,
2,Reasoning > comparison,17,15,11,0.7333,0.6471,0.6875,,,
2,Reasoning > defining symbols,15,8,6,0.7500,0.4000,0.5217,,,
2,Reasoning > hedge word analysis,13,3,3,1.0000,0.2308,0.3750,,,
2,Reasoning > logical reasoning,38,52,25,0.4808,0.6579,0.5556,,,
2,Reasoning > option evaluation,45,57,29,0.5088,0.6444,0.5686,,,
2,Reasoning > speculation,32,12,12,1.0000,0.3750,0.5455,,,
2,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
2,Reflection > meta-evaluation of a step,35,34,27,0.7941,0.7714,0.7826,,,
2,Restatement > rephrasing an earlier sentence,70,55,45,0.8182,0.6429,0.7200,,,
2,Restatement > rephrasing the prompt,53,62,52,0.8387,0.9811,0.9043,,,
3,"Assumption > assuming a missing premise by common practice > ""$1.00 more""",1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > assuming an uncertain fact,1,1,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split),1,5,1,0.2000,1.0000,0.3333,,,
3,Assumption > branching (case split) > algebra,4,4,3,0.7500,0.7500,0.7500,,,
3,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
3,Conclusion > intermediate conclusion,37,58,33,0.5690,0.8919,0.6947,,,
3,Example > non-exhaustive listing > algebra,17,21,16,0.7619,0.9412,0.8421,,,
3,Example > rhetorical example,5,5,5,1.0000,1.0000,1.0000,,,
3,Knowledge > commonsense,3,1,1,1.0000,0.3333,0.5000,,,
3,Knowledge > concept or definition > well-posedness,6,5,5,1.0000,0.8333,0.9091,,,
3,Knowledge > self-knowledge > evaluation context,1,1,1,1.0000,1.0000,1.0000,,,
3,Knowledge > self-knowledge > role,4,4,4,1.0000,1.0000,1.0000,,,
3,Knowledge > world knowledge,0,6,0,0.0000,0.0000,0.0000,,,
