level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
1,(all sentences),629,629,,,,,0.7647,0.7734,0.7072
2,(all sentences),629,629,,,,,0.6121,0.6176,0.5932
3,(all sentences),629,629,,,,,0.5962,0.6017,0.5835
1,Assumption,7,5,4,0.8000,0.5714,0.6667,,,
1,Conclusion,40,39,30,0.7692,0.7500,0.7595,,,
1,Example,22,28,16,0.5714,0.7273,0.6400,,,
1,Knowledge,30,43,24,0.5581,0.8000,0.6575,,,
1,Planning,177,181,160,0.8840,0.9040,0.8939,,,
1,Reasoning,206,239,181,0.7573,0.8786,0.8135,,,
1,Reflection,36,23,18,0.7826,0.5000,0.6102,,,
1,Restatement,123,76,62,0.8158,0.5041,0.6231,,,
2,Assumption > assuming a missing premise by common practice,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
2,Assumption > branching (case split),5,5,3,0.6000,0.6000,0.6000,,,
2,Conclusion > final answer,3,9,2,0.2222,0.6667,0.3333,,,
2,Conclusion > intermediate conclusion,37,30,23,0.7667,0.6216,0.6866,,,
2,Example > non-exhaustive listing,17,28,16,0.5714,0.9412,0.7111,,,
2,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
2,Knowledge > concept or definition,6,6,5,0.8333,0.8333,0.8333,,,
2,Knowledge > self-knowledge,5,4,3,0.7500,0.6000,0.6667,,,
2,Knowledge > world knowledge,16,33,15,0.4545,0.9375,0.6122,,,
2,Planning > announce output,16,18,15,0.8333,0.9375,0.8824,,,
2,Planning > announce the conclusion,5,7,4,0.5714,0.8000,0.6667,,,
2,Planning > global plan,35,13,12,0.9231,0.3429,0.5000,,,
2,Planning > initiate backtracking,8,5,2,0.4000,0.2500,0.3077,,,
2,Planning > initiate verification,42,36,31,0.8611,0.7381,0.7949,,,
2,Planning > local plan,71,102,62,0.6078,0.8732,0.7168,,,
2,Reasoning > calculation,35,22,18,0.8182,0.5143,0.6316,,,
2,Reasoning > commonsense reasoning,12,8,8,1.0000,0.6667,0.8000,,,
2,Reasoning > comparison,17,12,8,0.6667,0.4706,0.5517,,,
2,Reasoning > defining symbols,15,20,10,0.5000,0.6667,0.5714,,,
2,Reasoning > hedge word analysis,13,3,3,1.0000,0.2308,0.3750,,,
2,Reasoning > logical reasoning,38,70,32,0.4571,0.8421,0.5926,,,
2,Reasoning > option evaluation,45,89,37,0.4157,0.8222,0.5522,,,
2,Reasoning > speculation,32,15,10,0.6667,0.3125,0.4255,,,
2,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
2,Reflection > meta-evaluation of a step,35,20,17,0.8500,0.4857,0.6182,,,
2,Reflection > rhetorical phrase,0,1,0,0.0000,0.0000,0.0000,,,
2,Restatement > rephrasing an earlier sentence,70,12,7,0.5833,0.1000,0.1707,,,
2,Restatement > rephrasing the prompt,53,64,52,0.8125,0.9811,0.8889,,,
3,"Assumption > assuming a missing premise by common practice > ""$1.00 more""",1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > assuming an uncertain fact,1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split),1,1,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split) > algebra,4,4,3,0.7500,0.7500,0.7500,,,
3,Conclusion > final answer,3,9,2,0.2222,0.6667,0.3333,,,
3,Conclusion > intermediate conclusion,37,30,23,0.7667,0.6216,0.6866,,,
3,Example > non-exhaustive listing > algebra,17,28,16,0.5714,0.9412,0.7111,,,
3,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > concept or definition > well-posedness,6,6,5,0.8333,0.8333,0.8333,,,
3,Knowledge > self-knowledge > evaluation context,1,2,1,0.5000,1.0000,0.6667,,,
3,Knowledge > self-knowledge > role,4,2,2,1.0000,0.5000,0.6667,,,
3,Knowledge > world knowledge,0,4,0,0.0000,0.0000,0.0000,,,
3,Knowledge > world knowledge > famous problem (CRT),16,29,12,0.4138,0.7500,0.5333,,,
3,Planning > announce output,16,18,15,0.8333,0.9375,0.8824,,,
3,Planning > announce the conclusion,5,7,4,0.5714,0.8000,0.6667,,,
3,Planning > global plan,35,13,12,0.9231,0.3429,0.5000,,,
3,Planning > initiate backtracking,8,5,2,0.4000,0.2500,0.3077,,,
3,Planning > initiate verification,42,36,31,0.8611,0.7381,0.7949,,,
3,Planning > local plan,71,102,62,0.6078,0.8732,0.7168,,,
3,Reasoning > calculation,0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > calculation > algebra,35,21,17,0.8095,0.4857,0.6071,,,
3,Reasoning > commonsense reasoning,12,8,8,1.0000,0.6667,0.8000,,,
3,Reasoning > comparison > option vs option,8,4,2,0.5000,0.2500,0.3333,,,
3,Reasoning > comparison > prompt vs original text,9,8,6,0.7500,0.6667,0.7059,,,
3,Reasoning > defining symbols > algebra,15,20,10,0.5000,0.6667,0.5714,,,
3,Reasoning > hedge word analysis,0,2,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > everyday reading,4,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > mathematical reading,8,1,1,1.0000,0.1250,0.2222,,,
3,Reasoning > hedge word analysis > undecided,1,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > logical reasoning,20,37,19,0.5135,0.9500,0.6667,,,
3,Reasoning > logical reasoning > algebra,18,33,11,0.3333,0.6111,0.4314,,,
3,Reasoning > option evaluation > (A),11,15,10,0.6667,0.9091,0.7692,,,
3,Reasoning > option evaluation > (B),0,3,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (C),25,41,20,0.4878,0.8000,0.6061,,,
